variant,stage,total_return_pct,max_drawdown_pct,profit_factor,total_trades,trades_per_month,win_rate_pct,score,label,weekdays,times,directions
base,design,-0.4756081982348004,0.8119275871560137,0.5416292594063922,4,1.0,50.0,2.6543160440060163,base,,,
base,oos,2.541726871899086,0.8770571987379778,3.5842791539046863,10,1.25,80.0,199.56933390629575,base,,,
mon_tue,design,0.19466101051262008,0.6512594750962122,1.529925269235632,3,1.0,66.66666666666666,104.33003541496946,mon_tue,mon_tue,,
mon_tue,oos,2.506991434911998,0.827770088069546,inf,6,1.2,100.0,228.07513242947624,mon_tue,mon_tue,,
mon_tue_fri,design,0.19466101051262008,0.6512594750962122,1.529925269235632,3,1.0,66.66666666666666,104.33003541496946,mon_tue_fri,"mon_tue,fri",,
mon_tue_fri,oos,3.1522967473345043,0.8770571987379778,9.452006614119544,9,1.2857142857142858,88.88888888888889,222.96692654859817,mon_tue_fri,"mon_tue,fri",,
mon_tue_early,design,0.5628128144511635,0.2862067305370504,inf,2,1.0,100.0,225.69459197621708,mon_tue_early,mon_tue,early,
mon_tue_early,oos,2.0929102525377274,0.8311434023088947,inf,5,1.0,100.0,226.030103493531,mon_tue_early,mon_tue,early,
mon_tue_fri_early,design,0.5628128144511635,0.2862067305370504,inf,2,1.0,100.0,225.69459197621708,mon_tue_fri_early,"mon_tue,fri",early,
mon_tue_fri_early,oos,3.1084982834801878,0.8229184019814293,inf,7,1.1666666666666667,100.0,229.10240455705323,mon_tue_fri_early,"mon_tue,fri",early,
mon_tue_short,design,0.5628128144511635,0.2862067305370504,inf,2,1.0,100.0,225.69459197621708,mon_tue_short,mon_tue,,short
mon_tue_short,oos,2.0373467898440856,0.8315981435995521,inf,5,1.25,100.0,227.4167028616904,mon_tue_short,mon_tue,,short
mon_tue_fri_short,design,0.5628128144511635,0.2862067305370504,inf,2,1.0,100.0,225.69459197621708,mon_tue_fri_short,"mon_tue,fri",,short
mon_tue_fri_short,oos,2.2079897857214092,0.8851692601463339,6.920110246158083,7,1.1666666666666667,85.71428571428571,218.41870469928256,mon_tue_fri_short,"mon_tue,fri",,short
mon_tue_early_short,design,0.5628128144511635,0.2862067305370504,inf,2,1.0,100.0,225.69459197621708,mon_tue_early_short,mon_tue,early,short
mon_tue_early_short,oos,1.6250533297898162,0.8349880353002305,inf,4,1.0,100.0,225.07516648307848,mon_tue_early_short,mon_tue,early,short
