family,pair,stage,score,total_return_pct,max_drawdown_pct,profit_factor,total_trades,trades_per_month,win_rate_pct
core_reversion,USDJPY,design,-11.942456257474944,-0.43497579832165734,0.5035183250169648,0.13612717410632988,2,1.0,50.0
core_reversion,USDJPY,oos,-1000.0,0.0,0.0,inf,0,0.0,0.0
core_reversion,EURUSD,design,226.23735533352016,0.11867766676008085,0.0,inf,1,1.0,100.0
core_reversion,EURUSD,oos,-17.85253083377335,-1.384068028686003,1.691570243169319,0.18433641098613135,4,1.0,50.0
core_reversion,USDCAD,design,232.20205168096925,1.6010258404846267,0.0,inf,3,1.5,100.0
core_reversion,USDCAD,oos,-53.11018027312521,-1.2623075604712097,1.3171130304365575,0.0,2,1.0,0.0
core_reversion,USDCHF,design,-56.909952419774704,-1.8442789171106755,1.8442789171106706,0.0,3,1.0,0.0
core_reversion,USDCHF,oos,226.5458394489023,0.2729197244511594,0.0,inf,2,1.0,100.0
vwap_mean_reversion,USDJPY,design,221.97390916826126,0.5113934651872487,1.0097755524226524,inf,1,1.0,100.0
vwap_mean_reversion,USDJPY,oos,-23.863022170363173,-2.4686629251982284,2.707936844198913,0.3224925546685534,7,1.0,42.857142857142854
vwap_mean_reversion,EURUSD,design,2.6543160440060163,-0.4756081982348004,0.8119275871560137,0.5416292594063922,4,1.0,50.0
vwap_mean_reversion,EURUSD,oos,199.56933390629575,2.541726871899086,0.8770571987379778,3.5842791539046863,10,1.25,80.0
vwap_mean_reversion,USDCAD,design,227.87311144429648,0.9365557221482357,0.0,inf,2,1.0,100.0
vwap_mean_reversion,USDCAD,oos,30.595391752029542,-0.021319407381281685,1.130342082050047,0.9936071607896949,12,1.0909090909090908,66.66666666666666
vwap_mean_reversion,USDCHF,design,227.42971159340686,0.7148557967034286,0.0,inf,2,1.0,100.0
vwap_mean_reversion,USDCHF,oos,-44.41681239366781,-2.255284194882601,2.255284194882595,0.04675442426275923,5,1.25,20.0
