month,trade_level_file,exists,rows,usable
2015-01,PHASE50Y_LITE_201501_TRADE_LEVEL.csv,True,16,YES
2015-02,PHASE56_BATCH_201502_TRADE_LEVEL.csv,True,19,YES
2015-03,PHASE56_BATCH_201503_TRADE_LEVEL.csv,True,21,YES
2015-04,PHASE56_BATCH_201504_TRADE_LEVEL.csv,True,19,YES
2015-05,PHASE56_BATCH_201505_TRADE_LEVEL.csv,True,19,YES
2015-06,PHASE56_BATCH_201506_TRADE_LEVEL.csv,True,20,YES
2015-07,PHASE56_BATCH_201507_TRADE_LEVEL.csv,True,19,YES
2015-10,PHASE50Y_LITE_201510_TRADE_LEVEL.csv,True,19,YES
2015-11,PHASE50Y_LITE_201511_TRADE_LEVEL.csv,True,16,YES
2017-05,PHASE50S_201705_GEMINI_TRADE_LEVEL.csv,True,20,YES
2017-08,PHASE50S_201708_GEMINI_TRADE_LEVEL.csv,True,19,YES
2020-04,PHASE50S_202004_GEMINI_TRADE_LEVEL.csv,True,19,YES
2024-10,PHASE50O_MODEL_D_TRADE_LEVEL.csv,True,22,YES
2025-02,PHASE50Y_LITE_202502_TRADE_LEVEL.csv,True,19,YES
2025-11,PHASE50Y_LITE_202511_TRADE_LEVEL.csv,True,17,YES
