trade_id,entry_time,side,outcome,pnl_base,pnl_net_ftmo,commission_r
N/A,2017-04-03T11:54:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-04T17:15:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-04-05T12:39:00+00:00,SHORT,TP,1.4,1.3716,0.0284
N/A,2017-04-07T13:39:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-10T11:39:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-11T14:03:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-12T18:57:00+00:00,SHORT,SL,-1.0,-1.0725,0.0725
N/A,2017-04-13T11:33:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-04-14T13:36:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-04-17T14:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-18T11:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-20T19:00:00+00:00,SHORT,TP,1.4,1.3537,0.0463
N/A,2017-04-25T15:15:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-26T13:36:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-04-27T11:45:00+00:00,SHORT,SL,-1.0,-1.0298,0.0298
